Do you think Heads Up Display is useful?,Why do you think it is useful or why you don't like it?,Which features you have in your current vehicle(s)?,"Where would you prefer the projector to be?
A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,
B: The projector and the screen are integrated and seat at the top of the dashboard.","If there is a HUD device that also includes the top 4 features you selected above, what is your maximum acceptable price? (Price in USD, before tax)","If you would purchase the product from the previous question, would you rather:",one-part-machine vs add-on,"If you want new features on your car, what would you do?","Some features may need extra wiring throughout the car, how much extra would you like to pay to make them wireless.","If the product were priced according to your expectations and can be purchased through your desired channel,  how likely would you be to purchase the Heads UP Display (HUD)?",What is the model and year of your car?,Which city do you live in?,Which of the following best describes where you live?,What is your gender?,May I have your age range?,What is your field of occupation?,"If you don't mind, what is your annual income range?","How long do you spend on driving every day, pre-COVID-19?",A,B,C,D,E,F,G,H,I,J,Heads Up Display,Dashcam,Backup Camera,360° Backup Camera,Forward Collision Warning System,Voice Recognition,CarPlay/Android Auto,Blind Spot Check,Steering Wheel Controller,"No, I have no interest",Amazon/eBay,Canadian Tire,Costco,Bestbuy,Walmart/Target,Mr. Lube,Others(Q9),I use my car for routine transportation,I use my car to pick up/drop off my kid(s),"I like to drive around and explore new areas (e.g., restaurants)",I often use my car to go on road trips,My car is for professional use (I drive Uber or Lyft),Others(Q19)
Maybe,None,"""Built-in Navigation"",""Dashcam"",""Backup Camera""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 300 - USD $ 399,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I can buy aftermarket product and install it all by myself,Under $ 25 USD,I might or might not purchase the HUD,2008,Ottawa,I live in a suburb area,Male,20 - 25 years old,Student,Prefer not to say,30 minutes - 59 minutes per day,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
Yes,Less time spent looking down at the speedometer and GPS.,"""Backup Camera""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 200 - USD $ 299,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I will buy a new car with the features I want,$ 25 - $ 49 USD,I would probably not purchase the HUD,2000 Toyota Corolla,Toronto,I live in a suburb area,Male,20 - 25 years old,Unemployed,"Less than $20,000",Less than 30 minutes per day,0,35,15,15,0,0,0,0,0,35,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0
Yes,Not having to look at the speedometer and/or entertainment screen to change music or look at the map for directions,"""Built-in Navigation"",""Heads Up Display"",""Backup Camera"",""360° Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 200 - USD $ 299,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I will buy a new car with the features I want,$ 50 - $ 74 USD,I would probably purchase the HUD,2016 Honda Accord,Toronto,I live in a suburb area,Male,20 - 25 years old,Student,"Less than $20,000",Less than 30 minutes per day,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0
Yes,I can get important information like speed or dictions without looking down at the dashboard,"""Built-in Navigation"",""Heads Up Display"",""Forward Collision Warning System"",""Voice Recognition"",""Blind Spot Check""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 500 - USD $ 599,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I will buy a new car with the features I want,$ 75 - $ 100 USD,I would probably purchase the HUD,"Audi R8 2017, Audi Q7 2017",Cambridge,I live in a rural area,Male,41 - 45 years old,Information Techonology,"Over $100,000",Less than 30 minutes per day,40,40,0,0,10,0,0,10,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
Maybe,"Having driven a family vehicle with heads up display, it does not work while wearing polarized sunglasses. After many days of driving through a multi day roadtrip, I only noticed the display one day when it was cloudy and I didn't have my sunglasses on. I found the display distracting, and at the wrong depth of vision from where my eyes normally go.","""Dashcam"",""Backup Camera"",""Voice Recognition"",""CarPlay/Android Auto""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,"No, I wouldn't buy it",None,None,I can buy aftermarket product and install it all by myself,I'm fine if it is not messy,I would probably not purchase the HUD,2007 Chevrolet Volt,None,I live in a downtown area,Female,41 - 45 years old,Finance,None,None,0,0,30,10,0,0,10,50,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0
No,"Speed and distance is redundant going forward (can already see it). Blocks view of potentially other vehicles. 
Cons:
-Can be distracting. 
-Can also be dangerous. New drivers would look less at dashboard and miss potential warnings (seat belt, some kind of malfunction, low on gas/oil, etc)
Suggestion: 
-Display could be useful for side mirrors and rear mirror (eg. when reversing or parking) as distance can be difficult to judge using those.","""Built-in Navigation"",""Dashcam""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 500 - USD $ 599,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I will buy a new car with the features I want,I don't care about wiring,I might or might not purchase the HUD,2017,To,I live in a suburb area,Prefer not to say,None,None,None,None,5,0,0,40,40,10,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Yes,"Key information within driver's field of view adds safety and enjoyment to the driving experience.  At least to some extent, HUD could effect insurance actuaries to help reduce insurance costs (or improve insurance industry profits.)","""Built-in Navigation"",""Backup Camera"",""CarPlay/Android Auto"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 100 - USD $ 199,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I will try to get and install new features as add-ons from dealerships,$ 50 - $ 74 USD,I would probably purchase the HUD,Prius v 2012,El Paso,I live in a suburb area,Male,Older than 60 years old,Business Management and Administration,Prefer not to say,30 minutes - 59 minutes per day,0,50,5,0,0,25,0,0,20,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
Yes,Allows you to see the most relevant vehicle information without taking your eyes off the road.,"""Built-in Navigation"",""Heads Up Display"",""Dashcam"",""Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""Blind Spot Check"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 300 - USD $ 399,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,I'm fine if it is not messy,I would definitely purchase the HUD,"2012 Buick Regal GS, 2013 Cadillac XTS",Orillia,I live in a rural area,Male,31 - 35 years old,Manufacturing,"$60,000 to $79,999",1 hour - 2 hours per day,30,30,10,0,0,0,0,30,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0
Yes,Keeps my attention focused on the road and doesn’t district me by looking for specific things on my radio or dash.,"""Built-in Navigation"",""Backup Camera"",""CarPlay/Android Auto""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 200 - USD $ 299,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,$ 50 - $ 74 USD,I would probably purchase the HUD,2018 Subaru,Abilene,I live in a suburb area,Male,younger than 20 years old,None,"Less than $20,000",Less than 30 minutes per day,50,30,0,0,0,0,0,10,10,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0
Yes,It allows me to keep my eyes on the road and see the important things that might otherwise distract me,"""Built-in Navigation"",""Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 500 - USD $ 599,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I will buy a new car with the features I want,Above $ 100 USD,I would definitely purchase the HUD,2018,"Indianapolis, IN",I live in a suburb area,Male,36 - 40 years old,"Arts, Audio/Video Technology and Communications","Over $100,000",1 hour - 2 hours per day,30,10,0,0,0,0,0,30,0,30,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0
Yes,You don’t have to look down to check your speed or gps depending on how much information is available through it. That way the driver can at least keep an eye on the road still through it vs glancing down to check those things.,"""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 200 - USD $ 299,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I will buy a new car with the features I want,Under $ 25 USD,I would probably purchase the HUD,2004,Your moms basement.,"Dark, damp, dank.",Male,31 - 35 years old,"Transportation, Distribution and Logistics",Prefer not to say,30 minutes - 59 minutes per day,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0
Yes,Shows speed and efficiency of the car without looking too far down.,"""Built-in Navigation"",""Dashcam"",""Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 500 - USD $ 599,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I can buy aftermarket product and visit car body shop to install it,$ 50 - $ 74 USD,I might or might not purchase the HUD,None,None,I live in a downtown area,Male,None,None,None,Longer than 2 hours per day,0,0,25,25,0,0,0,25,0,25,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0
Yes,less distracted driving,"""Built-in Navigation"",""Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 500 - USD $ 599,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,Above $ 100 USD,I might or might not purchase the HUD,'20 BMW,Phoenix,I live in a downtown area,Male,26 -  30 years old,"Marketing, Sales and Service","$60,000 to $79,999",Less than 30 minutes per day,30,20,0,0,0,0,30,20,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
Yes,None,None,A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 200 - USD $ 299,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I will buy a new car with the features I want,I'm fine if it is not messy,I would probably purchase the HUD,None,Ottawa,I live in a downtown area,Male,younger than 20 years old,Student,"Less than $20,000",30 minutes - 59 minutes per day,50,0,0,0,20,10,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
Yes,None,"""Built-in Navigation"",""Backup Camera"",""Blind Spot Check""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 400 - USD $ 499,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,Above $ 100 USD,I would definitely purchase the HUD,2016 Subaru STI,None,I live in a rural area,Female,20 - 25 years old,Manufacturing,"$60,000 to $79,999",1 hour - 2 hours per day,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0
Yes,None,"""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 300 - USD $ 399,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,I'm fine if it is not messy,I would probably purchase the HUD,2004 infinity g35 coupe,Nyc,I live in a suburb area,Male,None,None,None,1 hour - 2 hours per day,40,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Yes,Having turn by turn nav arrows in my line of sight as opposed to in the touchscreen,"""Built-in Navigation"",""Dashcam"",""Backup Camera"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 300 - USD $ 399,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,I'm fine if it is not messy,I would probably purchase the HUD,2019 Buick Regal TourX,"Green Bay, WI",I live in a suburb area,Male,41 - 45 years old,Information Techonology,"$80,000 to $99,999",30 minutes - 59 minutes per day,60,40,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0
Maybe,"depends on the format, and design, can it be turned off.  many factors","""Dashcam"",""Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""Blind Spot Check""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,Less than USD $ 100,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,"I don't want any new features, cars should be kept simple",I don't care about wiring,I would probably not purchase the HUD,2019 sequoia,miami,I live in a suburb area,Male,41 - 45 years old,Information Techonology,"Over $100,000",30 minutes - 59 minutes per day,66,11,0,0,0,22,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
Yes,Provides information while you keep your eyes on the road,"""Built-in Navigation"",""Dashcam"",""Forward Collision Warning System"",""Voice Recognition"",""Blind Spot Check""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 400 - USD $ 499,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I will buy a new car with the features I want,I don't care about wiring,None,Audi S8 2007 & VW Touareg 2015,Lichfield UK,I live in a rural area,Male,Older than 60 years old,"Marketing, Sales and Service","Over $100,000",Less than 30 minutes per day,0,25,0,0,0,45,0,15,15,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
Yes,You don’t have to glance away from the road for directions or to check your speed. In times of heavy traffic or on suspect roads it could literally be a life saver.,"""Backup Camera"",""Forward Collision Warning System"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,More than USD $ 800,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and visit car body shop to install it,Above $ 100 USD,I would definitely purchase the HUD,2020 Kia Optima S,Georgetown,I live in a suburb area,Male,26 -  30 years old,Manufacturing,"Over $100,000",Less than 30 minutes per day,35,0,0,20,0,0,0,30,15,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0
Yes,Prevents excessive eye movement from road,"""Built-in Navigation"",""Heads Up Display"",""Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 100 - USD $ 199,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I have all features on my current car,$ 50 - $ 74 USD,I would definitely purchase the HUD,2018 Mazda3,Boonton,I live in a suburb area,Male,41 - 45 years old,Education and Training,"$40,000 to $59,999",30 minutes - 59 minutes per day,5,16,0,0,0,0,0,33,0,44,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0
Maybe,"A well-placed instrument cluster works just as well as a HUD, but having a low dashboard can provide excellent visibility, and in that case a toggleable HUD is a good idea.",None,B: The projector and the screen are integrated and seat at the top of the dashboard.,Less than USD $ 100,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,I'm fine if it is not messy,I would probably not purchase the HUD,1989 Ford Ranger,"Sanford, NC",I live in a rural area,Male,younger than 20 years old,Independent Mechanic,"$20,000 to $39,999",1 hour - 2 hours per day,20,70,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
Yes,Anything that can help the driver see the road/signs better in any conditions like driving into the sun or in the dark. Shouldn't be too cluttered with information (like don't introduce dashcam view or too much map/navigation) or else it could be a distraction.,None,B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 300 - USD $ 399,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I can buy aftermarket product and install it all by myself,$ 25 - $ 49 USD,I would definitely purchase the HUD,2004 Camry,Stittsville,I live in a suburb area,Male,20 - 25 years old,Student,Prefer not to say,30 minutes - 59 minutes per day,0,30,0,0,0,20,0,0,10,40,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Yes,None,"""Steering Wheel Controller""",None,USD $ 200 - USD $ 299,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,"I don't want any new features, cars should be kept simple",$ 50 - $ 74 USD,I would definitely purchase the HUD,2008 Hyundai Sonata,BC,I live in a suburb area,None,20 - 25 years old,None,"$80,000 to $99,999",Less than 30 minutes per day,0,0,0,25,0,25,0,25,0,25,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0
Yes,None,None,B: The projector and the screen are integrated and seat at the top of the dashboard.,Less than USD $ 100,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,Under $ 25 USD,I might or might not purchase the HUD,None,None,I live in a suburb area,Male,younger than 20 years old,"Science, Technology, Engineering and Mathematics",Prefer not to say,1 hour - 2 hours per day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Yes,I can check my speed and other important information without having a look down,None,A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,None,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,$ 25 - $ 49 USD,I would probably purchase the HUD,2002 GMC Envoy,Mason city,I live in a suburb area,Male,younger than 20 years old,Student,"Less than $20,000",Less than 30 minutes per day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Yes,You can display the speed and RPM of a car without having to glance down. This technology has existed since the 80s though.,"""Built-in Navigation"",""Heads Up Display"",""Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,More than USD $ 800,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,"I don't want any new features, cars should be kept simple",I don't care about wiring,I would definitely purchase the HUD,2017 Ford Mustang GT350 (with HUD),Toronto,I live in a downtown area,Male,20 - 25 years old,Business Management and Administration,Prefer not to say,1 hour - 2 hours per day,70,20,0,0,0,0,5,0,0,5,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Yes,None,"""Built-in Navigation"",""Backup Camera"",""Forward Collision Warning System"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 200 - USD $ 299,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I will try to get and install new features as add-ons from dealerships,$ 25 - $ 49 USD,I would probably purchase the HUD,Mazda CX-5 2018,Toronto,I live in a suburb area,Male,younger than 20 years old,Student,"Less than $20,000",Less than 30 minutes per day,40,0,10,0,30,0,0,0,20,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0
Yes,I had a corvette that had it and it was a feature the rest of my cars had,"""Built-in Navigation"",""Dashcam"",""Backup Camera"",""Forward Collision Warning System"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 200 - USD $ 299,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I will buy a new car with the features I want,$ 25 - $ 49 USD,I would definitely purchase the HUD,2016 Ford F150,"San Jose, CA",I live in a suburb area,Male,41 - 45 years old,Information Techonology,Prefer not to say,Less than 30 minutes per day,30,30,0,0,0,0,0,20,20,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0
Yes,Convenient,"""Built-in Navigation"",""Backup Camera""",B: The projector and the screen are integrated and seat at the top of the dashboard.,None,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,Above $ 100 USD,I might or might not purchase the HUD,2013 Infiniti G37,Chicago,I live in a downtown area,Female,20 - 25 years old,Finance,"$60,000 to $79,999",30 minutes - 59 minutes per day,0,40,0,40,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Yes,It can provide critical information in your normal line of sight.,None,A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 100 - USD $ 199,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I can buy aftermarket product and install it all by myself,$ 25 - $ 49 USD,I would probably not purchase the HUD,Sti '09,Anchorage,I live in a suburb area,Male,26 -  30 years old,Aircraft mechanic,"$40,000 to $59,999",30 minutes - 59 minutes per day,25,25,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Yes,It keeps your head up so you don’t have to look away from road for nav or speed. Some HUDs I’ve used read street markings as well to provide speed limits which are especially useful in unfamiliar areas if you happen to miss the signs,"""Built-in Navigation"",""Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 300 - USD $ 399,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I will buy a new car with the features I want,$ 50 - $ 74 USD,I would probably not purchase the HUD,2020 Audi Q5,"Laurel, Maryland",I live in a suburb area,Female,20 - 25 years old,Government and Public Administration,"$60,000 to $79,999",1 hour - 2 hours per day,0,0,0,0,30,20,0,30,20,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0
No,"It seems like it would be a distraction to have constantly in your eye-line, aa quick glance at the speedometer every once in a while is more than enough. I don't really use direction all that often but when I do, I prefer being able to use my own navigation devices that I'm comfortable customizing to fit my preferences. I don't really need a constant visual indicator for directions in my sight, audio telling me when the next turn is coming is enough.","""Built-in Navigation"",""Blind Spot Check""",B: The projector and the screen are integrated and seat at the top of the dashboard.,"No, I wouldn't buy it",Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I can buy aftermarket product and install it all by myself,Above $ 100 USD,I would probably not purchase the HUD,2014 Mercedes Benz C350,Prefer not to say,I live in a suburb area,Male,20 - 25 years old,Health Science,"$20,000 to $39,999",1 hour - 2 hours per day,0,0,30,30,0,10,0,0,30,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Yes,Provides useful information for the driver without the need to look at gauges or take their eyes off the road,"""CarPlay/Android Auto""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 100 - USD $ 199,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,I'm fine if it is not messy,I might or might not purchase the HUD,2010 Ford Fusion,None,I live in a rural area,Male,younger than 20 years old,Automotive Technician,None,1 hour - 2 hours per day,40,20,30,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Maybe,None,None,B: The projector and the screen are integrated and seat at the top of the dashboard.,Less than USD $ 100,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I can buy aftermarket product and install it all by myself,$ 25 - $ 49 USD,I might or might not purchase the HUD,2013 Huyndai sonata,None,I live in a downtown area,Prefer not to say,46 - 50 years old,Health Science,None,Less than 30 minutes per day,44,11,11,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Yes,"It shows important information, in a unique way. There is different HUDs for the cars, some may be fun to tamper with if enough settings. Alternately, there is a lot of fun tools to be implemented in a HUD that may help and also show a little fun in the driving scenario.",None,B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 200 - USD $ 299,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I can buy aftermarket product and visit car body shop to install it,I'm fine if it is not messy,I might or might not purchase the HUD,Echo 2002,Puerto Rico,I live in a downtown area,Male,20 - 25 years old,Student,None,1 hour - 2 hours per day,20,0,0,40,0,0,10,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
Maybe,I've never had a car with one before. I could see it being nice for keeping your view up as the only times I look away from the windshield is 1) mirrors 2) my touchpad/phone navigation 3) spedometer,"""Dashcam"",""Backup Camera"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 100 - USD $ 199,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I can buy aftermarket product and install it all by myself,I'm fine if it is not messy,I might or might not purchase the HUD,None,"Minneapolis, Minnesota, USA",I live in a suburb area,Male,20 - 25 years old,"Science, Technology, Engineering and Mathematics","Over $100,000",1 hour - 2 hours per day,0,0,10,0,0,0,0,20,0,20,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
Yes,You can view the displayed information without looking down from the road. And it looks cool.,None,A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 100 - USD $ 199,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,I'm fine if it is not messy,I might or might not purchase the HUD,2002 Honda Civic,Fredericksburg,I live in a suburb area,Male,20 - 25 years old,Mechanic,"$20,000 to $39,999",1 hour - 2 hours per day,30,30,25,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
Yes,Less deviation from watching traffic to check speed etc.,"""Built-in Navigation"",""Heads Up Display"",""360° Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 200 - USD $ 299,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I have all features on my current car,I'm fine if it is not messy,I would probably purchase the HUD,1990 mazda mx5 and 2018 mazda cx5,"Melbourne, australia",I live in a suburb area,Male,26 -  30 years old,Architecture and Construction,"$60,000 to $79,999",1 hour - 2 hours per day,30,0,0,20,0,20,0,30,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
